GEO ID 1,GEO ID 2,CENSUS TRACT,Neighborhood (NB) label,Tract population,NB population,Tract # below poverty line,NB # below poverty line,Tract poverty %,NB poverty %,Tract # over 65,NB 65+,Tract 65+ %,NB 65+ %,Case rate May 10,Case rate May 9,Case rate May 8,Case rate May 7
1008702,11001008702,87.02,N18: EDGEWOOD,"3,074","8,912",552,"2,005",18,22.5,183,824,6,9.2,13.2,13.2,13.1,12.6
1008802,11001008802,88.02,N45: TRINIDAD,"4,463","17,497",755,"3,943",16.9,22.5,677,"1,604",15.2,9.2,12.3,12.1,11.8,11.3
1008803,11001008803,88.03,N45: TRINIDAD,"2,778","17,497",870,"3,943",31.3,22.5,75,"1,604",2.7,9.2,12.3,12.1,11.8,11.3
1008804,11001008804,88.04,N45: TRINIDAD,"2,849","17,497",450,"3,943",15.8,22.5,229,"1,604",8,9.2,12.3,12.1,11.8,11.3
1008903,11001008903,89.03,N45: TRINIDAD,"3,342","17,497",881,"3,943",26.4,22.5,268,"1,604",8,9.2,12.3,12.1,11.8,11.3
1008904,11001008904,89.04,N45: TRINIDAD,"4,065","17,497",987,"3,943",24.3,22.5,355,"1,604",8.7,9.2,12.3,12.1,11.8,11.3
1009000,11001009000,90,N21: FORT LINCOLN/GATEWAY,"3,680","9,251",516,"1,338",14,14.5,"1,066","2,180",29,23.6,19.6,19.1,19.1,18.7
1009102,11001009102,91.02,N6: BRENTWOOD,"4,888","9,765","1,312","1,954",26.8,20,473,"1,299",9.7,13.3,10.7,10.5,10.4,10.4
1009201,11001009201,92.01,N18: EDGEWOOD,"3,073","8,912",643,"2,005",20.9,22.5,191,824,6.2,9.2,13.2,13.2,13.1,12.6
1009203,11001009203,92.03,N5: BLOOMINGDALE,"2,998","14,980",511,"1,613",17,10.8,363,"1,536",12.1,10.3,5.9,5.9,5.7,5.6
1009204,11001009204,92.04,N18: EDGEWOOD,"2,765","8,912",810,"2,005",29.3,22.5,450,824,16.3,9.2,13.2,13.2,13.1,12.6
