Report Date,ZIP Code,Number of Cases,Number of Testing Encounters
5/11/2020,22736,Suppressed*,7
5/11/2020,22737,Suppressed*,33
5/11/2020,22738,Suppressed*,22
5/11/2020,22740,Suppressed*,22
5/11/2020,22741,0,5
5/11/2020,22742,6,33
5/11/2020,22743,0,1
5/11/2020,22747,0,12
5/11/2020,22749,0,2
5/11/2020,22801,413,832
5/11/2020,22802,343,779
5/11/2020,22807,Suppressed*,2
5/11/2020,22810,Suppressed*,10
5/11/2020,22811,Suppressed*,10
5/11/2020,22812,12,126
5/11/2020,22815,45,140
5/11/2020,22820,0,1
5/11/2020,22821,13,61
5/11/2020,22824,39,49
5/11/2020,22827,28,186
5/11/2020,22830,13,28
5/11/2020,22831,Suppressed*,9
5/11/2020,22832,Suppressed*,13
5/11/2020,22834,0,15
5/11/2020,22835,76,187
5/11/2020,22840,Suppressed*,55
5/11/2020,22841,7,38
5/11/2020,22842,40,72
5/11/2020,22843,Suppressed*,25
5/11/2020,22844,24,77
5/11/2020,22846,6,44
5/11/2020,22847,Suppressed*,9
5/11/2020,22849,10,73
5/11/2020,22850,Suppressed*,19
5/11/2020,22851,38,93
5/11/2020,22853,35,102
5/11/2020,22901,84,898
5/11/2020,22902,25,525
5/11/2020,22903,39,652
5/11/2020,22904,0,5
5/11/2020,22911,14,346
5/11/2020,22920,Suppressed*,32
5/11/2020,22922,Suppressed*,35
5/11/2020,22923,5,88
5/11/2020,22931,0,7
5/11/2020,22932,10,152
5/11/2020,22935,Suppressed*,18
5/11/2020,22936,Suppressed*,84
5/11/2020,22937,Suppressed*,35
5/11/2020,22938,Suppressed*,15
5/11/2020,22939,Suppressed*,52
5/11/2020,22940,Suppressed*,20
5/11/2020,22942,6,219
5/11/2020,22943,0,7
5/11/2020,22946,Suppressed*,4
5/11/2020,22947,Suppressed*,77
5/11/2020,22948,0,1
5/11/2020,22949,0,23
5/11/2020,22952,0,23
5/11/2020,22958,Suppressed*,24
5/11/2020,22959,Suppressed*,42
5/11/2020,22960,16,252
5/11/2020,22963,24,333
5/11/2020,22964,0,3
5/11/2020,22967,0,19
5/11/2020,22968,7,165
5/11/2020,22969,Suppressed*,24
5/11/2020,22971,0,37
5/11/2020,22972,Suppressed*,16
5/11/2020,22973,Suppressed*,131
5/11/2020,22974,6,111
5/11/2020,22976,0,7
5/11/2020,22980,29,336
5/11/2020,22989,0,2
5/11/2020,23002,16,226
5/11/2020,23004,9,35
5/11/2020,23005,22,212
5/11/2020,23009,10,103
5/11/2020,23011,Suppressed*,21
5/11/2020,23015,Suppressed*,67
5/11/2020,23021,0,4
5/11/2020,23022,5,27
5/11/2020,23023,Suppressed*,5
5/11/2020,23024,18,125
5/11/2020,23025,0,6
5/11/2020,23027,Suppressed*,31
5/11/2020,23030,14,92
5/11/2020,23032,0,1
5/11/2020,23035,Suppressed*,19
5/11/2020,23038,6,30
5/11/2020,23039,Suppressed*,19
5/11/2020,23040,6,84
5/11/2020,23043,Suppressed*,13
5/11/2020,23045,0,2
5/11/2020,23047,0,16
5/11/2020,23050,Suppressed*,8
5/11/2020,23055,36,56
5/11/2020,23056,0,2
5/11/2020,23059,38,482
5/11/2020,23060,71,589
5/11/2020,23061,16,265
5/11/2020,23062,Suppressed*,50
5/11/2020,23063,53,171
5/11/2020,23064,0,2
5/11/2020,23065,Suppressed*,22
5/11/2020,23066,0,3
5/11/2020,23068,0,4
5/11/2020,23069,Suppressed*,47
5/11/2020,23070,0,5
5/11/2020,23071,Suppressed*,13
5/11/2020,23072,6,166
5/11/2020,23075,102,252
5/11/2020,23076,0,10
5/11/2020,23079,0,1
5/11/2020,23083,Suppressed*,34
5/11/2020,23084,5,60
5/11/2020,23085,Suppressed*,4
5/11/2020,23086,Suppressed*,30
5/11/2020,23089,8,110
5/11/2020,23091,0,8
5/11/2020,23092,0,5
5/11/2020,23093,23,325
5/11/2020,23102,6,30
5/11/2020,23103,13,99
5/11/2020,23106,Suppressed*,16
5/11/2020,23109,Suppressed*,24
5/11/2020,23110,0,15
5/11/2020,23111,56,568
5/11/2020,23112,79,799
5/11/2020,23113,58,503
5/11/2020,23114,30,335
5/11/2020,23115,0,4
5/11/2020,23116,70,624
5/11/2020,23117,7,184
5/11/2020,23119,Suppressed*,0
5/11/2020,23120,20,212
5/11/2020,23123,16,81
5/11/2020,23124,Suppressed*,63
5/11/2020,23126,0,5
5/11/2020,23128,Suppressed*,20
5/11/2020,23129,0,3
5/11/2020,23130,Suppressed*,4
5/11/2020,23138,0,4
5/11/2020,23139,19,401
5/11/2020,23140,14,110
5/11/2020,23141,10,104
5/11/2020,23146,5,35
5/11/2020,23148,0,19
5/11/2020,23149,Suppressed*,55
5/11/2020,23150,25,199
5/11/2020,23153,Suppressed*,23
5/11/2020,23156,Suppressed*,20
5/11/2020,23160,0,7
5/11/2020,23161,0,1
5/11/2020,23163,0,1
5/11/2020,23168,8,186
5/11/2020,23169,0,11
5/11/2020,23173,0,1
5/11/2020,23175,Suppressed*,18
5/11/2020,23176,0,1
5/11/2020,23177,0,11
5/11/2020,23180,0,2
5/11/2020,23181,0,101
5/11/2020,23185,117,"1,145"
5/11/2020,23187,0,13
5/11/2020,23188,120,"1,165"
5/11/2020,23192,10,87
5/11/2020,23219,13,86
5/11/2020,23220,52,419
5/11/2020,23221,14,200
5/11/2020,23222,63,423
5/11/2020,23223,183,999
5/11/2020,23224,167,828
5/11/2020,23225,136,881
5/11/2020,23226,66,331
5/11/2020,23227,46,473
5/11/2020,23228,77,631
5/11/2020,23229,59,537
5/11/2020,23230,10,121
5/11/2020,23231,94,614
5/11/2020,23233,96,602
5/11/2020,23234,175,799
5/11/2020,23235,83,712
5/11/2020,23236,46,537
